FID,fname,dttime_utc,dttime_est,f_lat,f_lon,f_area_acr,county
1,"5 Delbert Collins Road, Polk (53)",2/8/2024 4:02,2/7/2024 23:02,28.1167,-81.6839,5,Polk
2,SE 120TH AVE (38),2/26/2024 18:47,2/26/2024 13:47,29.2532,-82.5731,2.5,Levy
3,CR 315 (54),3/29/2024 20:37,3/29/2024 15:37,29.691253,-81.908953,16.5,Putnam
4,UNDERHILL BRANCH (64),4/4/2024 17:14,4/4/2024 12:14,28.771947,-81.00997,0.5,Volusia
5,SAFFOLD (29),4/4/2024 19:18,4/4/2024 14:18,27.673811,-82.34425,0.5,Hillsborough
6,UNDERHILL  (64),4/4/2024 20:51,4/4/2024 15:51,28.7719,-81.01,0.1,Volusia
7,SAND MINE RD (53)*,4/4/2024 23:20,4/4/2024 18:20,28.3146,-81.6664,7,Polk
8,ACOMA (18),4/5/2024 0:24,4/4/2024 19:24,29.414684,-81.155969,4.6,Flagler
9,BB (18),4/13/2024 21:07,4/13/2024 16:07,29.3782,-81.3243,2,Flagler
10,VOLUSIA BAR ROAD (64),4/24/2024 17:54,4/24/2024 12:54,29.2042,-81.5408,62,Volusia
11,Rocket Command,5/12/2024 20:23,5/12/2024 15:23,28.551317,-81.068158,6.8,Orange
12,Harbor Way,5/11/2024 0:00,5/10/2024 19:00,28.922722,-81.509333,9,Lake
13,Byrd Camp,5/10/2024 19:52,5/10/2024 14:52,29.6539864,-81.3566874,0.1,St. Johns
14,Balm Riverview West Fire,5/6/2024 18:55,5/6/2024 13:55,27.7908333,-82.2816667,20,Hillsborough
15,6080 Hickory Tree Road Fire,5/14/2024 12:09,5/14/2024 7:09,28.177429,-81.186733,75,Osceola
16,Pocket Fire,5/14/2024 23:26,5/14/2024 18:26,28.31904,-81.56306,35,Osceola
17,N. Poinciana Blvd Fire,5/15/2024 1:08,5/14/2024 20:08,28.35360278,-81.47639167,2,Orange
18,Morris Bridge Road Fire,5/14/2024 23:16,5/14/2024 18:16,28.15306111,-82.27498056,15,Hillsborough
19,POSSUM CAMP (64),5/20/2024 15:56,5/20/2024 10:56,28.9566389,-81.0060833,13,Volusia
20,OLD SPEEDWAY (64),5/18/2024 22:44,5/18/2024 17:44,29.2161329,-81.346495,0.1,Volusia
21,BOY SCOUT RD (53),5/15/2024 0:07,5/14/2024 19:07,27.9041667,-81.4405556,0.25,Polk
22,GEORGETOWN SHORTCUT (54),5/16/2024 21:05,5/16/2024 16:05,29.4061944,-81.6271111,2,Putnam
23,Lopez Fire,5/20/2024 4:00,5/19/2024 23:00,28.921,-81.066,90,Volusia
24,Sandy Drain Fire,5/22/2024 4:00,5/21/2024 23:00,28.8911676,-81.0440086,645,Volusia
25,Buck Lake Fire,5/26/2024 4:00,5/25/2024 23:00,28.68501,-80.980225,200,Volusia
26,Bike Trail Fire,5/27/2024 4:00,5/26/2024 23:00,28.672777,-81.1169444,20,Seminole
27,OMNI #1 AND 2 FIRE. (49),5/25/2024 21:07,5/25/2024 16:07,28.0611276,-81.0954887,10,Osceola
28,CABBAGE TREE (49),5/22/2024 21:04,5/22/2024 16:04,27.8845177,-80.8452549,6,Brevard
29,SPORTS COMPLEX (64),5/19/2024 18:01,5/19/2024 13:01,29.3032583,-81.1199944,0.5,Volusia
30,Duda Fire,5/27/2024 19:20,5/27/2024 14:20,28.23916667,-80.79611111,275,Brevard
31,Crab Grass Fire,5/27/2024 19:01,5/27/2024 14:01,28.091225,-80.9784472,406,Osceola
32,Ball Field Fire,5/27/2024 18:37,5/27/2024 13:37,28.18861111,-81.48638889,0.5,Osceola
33,Big Bend Fire,5/27/2024 22:01,5/27/2024 17:01,28.15567222,-81.16579167,45,Osceola
34,Big Bend West Fire,5/28/2024 20:16,5/28/2024 15:16,28.16138333,-81.18055278,60,Osceola
35,Clear Springs Ranch Fire,5/29/2024 4:00,5/28/2024 23:00,27.87914167,-81.76969444,,Polk
36,ANDERSON ISLAND (64),5/30/2024 19:20,5/30/2024 14:20,29.2511111,-81.38,27,Volusia
37,RAILROAD (55),5/29/2024 20:37,5/29/2024 15:37,29.6930556,-81.31,9.3,St. Johns
38,ROAD 58 (64),5/29/2024 17:12,5/29/2024 12:12,29.1413889,-81.4044444,1.4,Volusia
39,POLE BARN (64),5/28/2024 19:43,5/28/2024 14:43,29.1611437,-81.4656373,38,Volusia
40,ABBOTT ROAD (64),5/28/2024 17:22,5/28/2024 12:22,29.2397222,-81.4972222,0.27,Volusia
41,9 MILE POWERLINE (64),5/28/2024 17:15,5/28/2024 12:15,29.2739722,-81.48475,0.1,Volusia
42,119 MM (64),5/26/2024 20:33,5/26/2024 15:33,29.0248135,-81.2241414,0.12,Volusia
43,OAKRIDGE (29)**,5/28/2024 17:34,5/28/2024 12:34,28.1530813,-82.2750607,30,Hillsborough
44,HORSESHOE (35),5/30/2024 21:06,5/30/2024 16:06,28.9548139,-81.4986278,6.5,Lake
45,VANNOTE ROAD (64),5/5/2024 1:44,5/4/2024 20:44,29.2363889,-81.4852778,95,Volusia
46,BREAK 3 WEST  (64),5/8/2024 17:26,5/8/2024 12:26,28.7875,-80.9708333,5,Volusia
47,WEST COUNTY LINE RD (53),5/9/2024 5:18,5/9/2024 0:18,27.6466494,-81.5321796,0.5,Polk
48,BUFFER (05),5/11/2024 18:38,5/11/2024 13:38,27.8597222,-80.5627778,60,Brevard
49,DEEP CREEK (49),5/14/2024 16:36,5/14/2024 11:36,27.6760585,-80.9168469,1,Osceola
50,5 CONTAINER (53),5/21/2024 22:39,5/21/2024 17:39,27.8022242,-81.2496091,1.5,Polk
51,ROAD 43 (64),5/22/2024 17:15,5/22/2024 12:15,29.1413889,-81.4683333,17.5,Volusia
52,CRAB GRASS 2 (49),5/31/2024 21:34,5/31/2024 16:34,28.0905556,-80.9816667,406,Osceola
53,KELLY WARNER (27),6/4/2024 0:03,6/3/2024 19:03,28.542775,-82.2361028,4.5,Hernando
54,HUDSON ST (54),6/5/2024 12:51,6/5/2024 7:51,29.6445995,-81.8440976,0.25,Putnam
55,BUFFALO BLUFF RD (54),6/6/2024 19:10,6/6/2024 14:10,29.5746098,-81.6572099,6.7,Putnam
56,SOUTHEAST 11 (18),6/6/2024 20:34,6/6/2024 15:34,29.3427912,-81.3088958,0.1,Flagler
57,OLD 37 (53),6/6/2024 21:11,6/6/2024 16:11,27.8143618,-81.9595395,50,Polk
58,ALDERMAN CREEK (29),6/6/2024 21:46,6/6/2024 16:46,27.6980271,-82.1407453,50,Hillsborough
59,PULP (64),6/7/2024 0:00,6/6/2024 19:00,29.2650833,-81.4884167,100,Volusia
60,CEDAR WAY (64),6/7/2024 1:17,6/6/2024 20:17,29.2610556,-81.4928611,185,Volusia
61,RAINBOW LAKE LANE (64),6/6/2024 22:17,6/6/2024 17:17,29.2185082,-81.4178345,3.7,Volusia
62,MYSTERY (18),6/6/2024 22:49,6/6/2024 17:49,29.3763333,-81.3376667,8,Flagler
63,FLOWING WELL  (64),6/7/2024 0:19,6/6/2024 19:19,29.287,-81.4917,7.5,Volusia
64,ABANDONED HOUSE (49),6/7/2024 1:06,6/6/2024 20:06,28.097325,-80.9867778,0.1,Osceola
65,JUMPING DEER (53),6/7/2024 2:36,6/6/2024 21:36,27.6491667,-82.0363889,50,Polk
66,CR 234 (01),6/7/2024 14:54,6/7/2024 9:54,29.618,-82.2099,20,Alachua
67,SAVAGE CREEK PRESERVE (48),6/7/2024 16:30,6/7/2024 11:30,28.5518956,-81.0447755,2,Orange
68,BRONSON RANCH (35),6/7/2024 17:04,6/7/2024 12:04,28.3632145,-81.7970835,1.7,Lake
69,CHRISTMAS CREEK (48),6/7/2024 17:06,6/7/2024 12:06,28.560575,-81.0397806,1,Orange
70,ROBERTS RANCH (48),6/7/2024 17:14,6/7/2024 12:14,28.5602911,-81.0928429,1,Orange
71,SPIDER (48),6/7/2024 17:56,6/7/2024 12:56,28.5450833,-80.9990556,1.5,Orange
72,BURLWOOD (64),6/7/2024 19:37,6/7/2024 14:37,28.9704898,-81.1380205,1,Volusia
73,CALOOSA LANDING (53)**,6/7/2024 19:55,6/7/2024 14:55,27.7623339,-81.5997328,10,Polk
74,WELCOME (53),6/7/2024 20:09,6/7/2024 15:09,27.7530556,-81.8805556,2,Polk
75,CABBAGE SPOT (49),6/7/2024 21:01,6/7/2024 16:01,27.9766667,-80.9236111,60,Osceola
76,SAWGRASS (49),6/8/2024 15:23,6/8/2024 10:23,27.7552778,-80.9252778,2,Osceola
